Version: 2,,,,,,,
ID,Suffix,fart,frac,fta0,ftat,ftip,fube
BP00,BHad,"""ReplaceableTextures\\CommandButtons\\BTNCyclone.blp""",,"""""","""""","""风熊猫-龙卷风""","""该单位正处于龙卷风中，无法移动，攻击和施法"""
BP01,BHad,"""ReplaceableTextures\\CommandButtons\\BTNCritterChicken.blp""",,"""""","""""","""共享信使""","""该信使现在共享，友方可以控制"""
BP02,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpellShieldAmulet.blp""",,"""""","""""","""不朽-法术抵挡""","""阻挡一次指向性魔法技能"""
BP03,BHad,"""ReplaceableTextures\\CommandButtons\\BTNBash.blp""",,"""""","""""","""不朽-致残""","""攻击概率使敌人进入残废状态"""
BP04,BHad,"""ReplaceableTextures\\CommandButtons\\BTNThickFur.blp""",,"""""","""""","""不朽-力量""","""随着时间的增加血量、攻击力和护甲逐渐增加；无法被幻象攻击"""
BP05,BHad,"""ReplaceableTextures\\CommandButtons\\BTNReincarnation.blp""",,"""""","""""","""捕猎者-生命光环""","""增加生命上限"""
BP06,BHad,"""ReplaceableTextures\\CommandButtons\\BTNGnollCommandAura.blp""",,"""""","""""","""头狼-命令光环""","""增加攻击力"""
BP07,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDevotion.blp""",,"""""","""""","""枭兽-坚韧光环""","""增加护甲"""
BP08,BHad,"""ReplaceableTextures\\CommandButtons\\BTNTornado.blp""",,"""""","""""","""枭兽-龙卷风""","""该单位被龙卷风作用，被减速了，持续受到伤害"""
BP09,BHad,"""ReplaceableTextures\\CommandButtons\\BTNTornado.blp""",,"""""","""""","""|cffff3300枭兽-龙卷风|r""","""受到龙卷风作用，移动速度降低并受到持续伤害"""
BP0A,BHad,"""ReplaceableTextures\\CommandButtons\\BTNCommand.blp""",,"""""","""""","""乌尔萨-耐久光环""","""增加攻击速度"""
BP0B,BHad,"""ReplaceableTextures\\CommandButtons\\BTNBrilliance.blp""",,"""""","""""","""巨魔牧师-辉煌光环""","""增加魔法恢复"""
BP0C,BHad,"""ReplaceableTextures\\CommandButtons\\BTNGenericSpellImmunity.blp""",,"""""","""""","""中立-魔法抗性""","""增加魔法抗性"""
BP0D,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSeaGiantPulverize.blp""",,"""""","""""","""狗头人-速度光环""","""增加移动速度"""
BP0E,BHad,"""ReplaceableTextures\\CommandButtons\\BTNUnholyAura.blp""",,"""""","""""","""萨特-邪恶光环""","""生命回复速度提升"""
BP0F,BHad,"""ReplaceableTextures\\CommandButtons\\BTNPurge.blp""",,"""""","""""","""|cffff3300萨特-净化|r""","""清除敌方正面Buff"""
BP0G,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDevotion.blp""",,"""""","""""","""蓝龙-专注光环""","""处于护甲增益状态中"""
BP0H,BHad,"""ReplaceableTextures\\CommandButtons\\BTNUnholyFrenzy.blp""",,"""""","""""","""首领-不洁之力""","""攻击更迅速"""
BP0I,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDrum.blp""",,"""""","""""","""首领-战鼓光环""","""增加15%的基础攻击力，增加15攻击速度"""
BP0J,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFrostArmor.blp""",,"""""","""""","""食人魔-霜冻护甲""","""增加护甲值"""
BP0K,BHad,"""ReplaceableTextures\\CommandButtons\\BTNColdArrows.blp""",,"""""","""""","""|cffff3300鬼魂-霜冻攻击|r""","""被减速了"""
BP0L,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDevotion.blp""",,"""""","""""","""黑龙-龙隐光环""","""增加护甲值"""
BP0M,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDecay.blp""",,"""""","""""","""腐朽""","""该单位力量增加了"""
BP0N,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDecay.blp""",,"""""","""""","""|cffff3300腐朽|r""","""该单位力量减少了"""
BP0O,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFleshGolem.blp""",,"""""","""""","""|cffff3300血肉傀儡|r""","""该单位感染了瘟疫，被攻击时会受到额外的伤害"""
BP0P,BHad,"""ReplaceableTextures\\CommandButtons\\BTNUnholyFrenzy.blp""",,"""""","""""","""狂暴""","""该单位处于狂暴状态，处于技能免疫状态"""
BP0Q,BHad,"""ReplaceableTextures\\CommandButtons\\BTNGhoulFrenzy.blp""",,"""""","""""","""|cffff3300撕裂伤口|r""","""攻击这个单位将会恢复一定的生命值，被减速了"""
BP0R,BHad,"""ReplaceableTextures\\CommandButtons\\BTNUndeadLoad.blp""",,"""""","""""","""噬魂鬼的感染""","""被吸收或被感染，该单位处于无敌状态！"""
BP0S,BHad,"""ReplaceableTextures\\CommandButtons\\BTNLightningShield.blp""",,"""""","""""","""无光之盾""","""能吸收一定量的伤害"""
BP0T,BHad,"""ReplaceableTextures\\CommandButtons\\BTNIceBlade.blp""",,"""""","""""","""霜之哀伤""","""该单位正在攻击带有深渊印记的单位，增加移动速度，攻击更迅速"""
BP0U,BHad,"""ReplaceableTextures\\CommandButtons\\BTNIceBlade.blp""",,"""""","""""","""|cffff3300霜之哀伤|r""","""目标受到传说之剑的攻击，被减速了，行动更缓慢了"""
BP0V,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAnimateDead.blp""",,"""""","""""","""回光返照""","""受到的伤害转而治疗"""
BP0W,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAnimateDead.blp""",,"""""","""""","""回光返照""","""该单位处于地狱领主的保护下"""
BP0X,BHad,"""ReplaceableTextures\\CommandButtons\\BTNPlagueCloud.blp""",,"""""","""""","""启动腐烂""","""该单位受到毒素的英雄，将对自己和周围敌方单位造成伤害，被减速了"""
BP0Y,BHad,"""ReplaceableTextures\\CommandButtons\\BTNCannibalize.blp""",,"""""","""""","""|cffff3300肢解|r""","""该单位正在被肢解，它无法移动或攻击，并将持续受到伤害"""
BP0Z,BHad,"""ReplaceableTextures\\CommandButtons\\BTN_BerserkerCall.BLP""",,"""""","""""","""狂战士的怒吼""","""该单位护甲增加了并使其他单位攻击该单位"""
BP10,BHad,"""ReplaceableTextures\\CommandButtons\\BTN_BerserkerCall.BLP""",,"""""","""""","""|cffff3300狂战士的怒吼|r""","""该单位强制攻击斧王"""
BP11,BHad,"""ReplaceableTextures\\CommandButtons\\BTNIncinerate.blp""",,"""""","""""","""|cffff3300战斗饥渴|r""","""对战斗的渴望折磨着此单位，在杀死任意单位之前，它将会持续受到伤害，被减速了"""
BP12,BHad,"""ReplaceableTextures\\CommandButtons\\BTNStaffOfSanctuary.blp""",,"""""","""""","""反击螺旋""","""该单位被惹毛了，攻击他会受到致命伤害"""
BP13,BHad,"""ReplaceableTextures\\CommandButtons\\BTNPossession.blp""",,"""""","""""","""|cffff3300伤残恐惧|r""","""无法施法，难以击中目标"""
BP14,BHad,"""ReplaceableTextures\\CommandButtons\\BTNHeroDreadLord.blp""",,"""""","""""","""黑暗猎手""","""暗夜魔王在夜间是一个娴熟的猎手"""
BP15,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDarkness.blp""",,"""""","""""","""|cffff3300夜幕降临|r""","""该单位视野被降低了"""
BP16,BHad,"""ReplaceableTextures\\CommandButtons\\BTNRedDragonDevour.blp""",,"""""","""""","""吞噬""","""该单位正在消化一个单位"""
BP17,BHad,"""ReplaceableTextures\\CommandButtons\\BTNWallOfFire.blp""",,"""""","""""","""焦土""","""该单位处于火焰之中获得，生命回复速度提升，增加移动速度"""
BP18,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSoulBurn.blp""",,"""""","""""","""|cffff3300阎刃|r""","""阎刃作用下收到燃烧效果，持续受到伤害"""
BP19,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDoom.blp""",,"""""","""""","""|cffff3300末日|r""","""该单位被末日诅咒缠绕，会持续受到伤害，无法施法"""
BP1A,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFire.blp""",,"""""","""""","""|cffff3300火焰风暴|r""","""该单位遭到火焰风暴攻击，将持续受到伤害"""
BP1B,BHad,"""ReplaceableTextures\\CommandButtons\\BTNGrave.blp""",,"""""","""""","""|cffff3300怨念深渊|r""","""无法移动和使用位移技能"""
BP1C,BHad,"""ReplaceableTextures\\CommandButtons\\BTNShadeTrueSight.blp""",,"""""","""""","""衰退光环""","""增加力量"""
BP1D,BHad,"""ReplaceableTextures\\CommandButtons\\BTNShadeTrueSight.blp""",,"""""","""""","""|cffff3300衰退光环|r""","""该单位受到衰退光环的影响，攻击的潜力被削弱了"""
BP1E,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDarkPortal.blp""",,"""""","""""","""黑暗之门""","""将自己范围内的友方英雄传送至友方单位、友方建筑"""
BP1F,BHad,"""ReplaceableTextures\\CommandButtons\\BTNRealityRift.blp""",,"""""","""""","""实相裂隙""","""增加攻击力"""
BP1G,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpiritWolf.blp""",,"""""","""""","""召狼""","""攻击概率使敌人进入残废状态"""
BP1H,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpiritWolf.blp""",,"""""","""""","""|cffff3300召狼|r""","""被减速了，持续受到伤害"""
BP1I,BHad,"""ReplaceableTextures\\CommandButtons\\BTNHowlOfTerror.blp""",,"""""","""""","""嗥叫""","""该单位的攻击力得到了提升"""
BP1J,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFeralHeart.blp""",,"""""","""""","""野性驱使""","""狼人和他控制的单位的攻击力得到了提升，生命回复速度提升"""
BP1K,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDireWolf.blp""",,"""""","""""","""变身""","""狼人和他控制的单位的移动速度提升至极限，视野提升，概率造成倍数伤害"""
BP1L,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAdvancedUnholyStrength.blp""",,"""""","""""","""|cffff3300冥火爆击|r""","""被减速了"""
BP1M,BHad,"""ReplaceableTextures\\CommandButtons\\BTNVampiricAura.blp""",,"""""","""""","""吸血光环""","""该单位正处于吸血光环的影响中，对敌方单位造成伤害自己生命也会回复"""
BP1N,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSirenMaster.blp""",,"""""","""""","""冲刺""","""被攻击时将受到额外伤害，增加移动速度"""
BP1O,BHad,"""ReplaceableTextures\\CommandButtons\\BTNHydraWarStomp.blp""",,"""""","""""","""|cffff3300鱼人碎击|r""","""该单位中了鱼人碎击。"""
BP1P,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAmplifyDamage.blp""",,"""""","""""","""|cffff3300伤害加深|r""","""该单位在被攻击时受到更多的伤害"""
BP1Q,BHad,"""ReplaceableTextures\\CommandButtons\\BTNEmpower.blp""",,"""""","""""","""授予力量""","""该单位被授予力量，攻击力被提升了"""
BP1R,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSkewer.blp""",,"""""","""""","""|cffff3300獠牙冲刺|r""","""被减速了"""
BP1S,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSandStorm.blp""",,"""""","""""","""沙尘暴""","""该单位被沙尘暴作用，持续受到伤害"""
BP1T,BHad,"""ReplaceableTextures\\CommandButtons\\BTNPoisonSting.blp""",,"""""","""""","""|cffff3300腐尸毒|r""","""该单位在死亡时尸体会炸开"""
BP1U,BHad,"""ReplaceableTextures\\CommandButtons\\BTNPoisonSting.blp""",,"""""","""""","""腐尸毒""","""攻击带有毒性"""
BP1V,BHad,"""ReplaceableTextures\\CommandButtons\\BTNEarthquake.blp""",,"""""","""""","""|cffff3300地震|r""","""该单位因为附近的地震，被减速了，行动更缓慢了"""
BP1W,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSummonWaterElemental.blp""",,"""""","""""","""|cffff3300巨浪|r""","""该单位被巨浪冲击，护甲下降了，被减速了"""
BP1X,BHad,"""ReplaceableTextures\\CommandButtons\\BTNNagaArmorUp3.blp""",,"""""","""""","""海妖外壳""","""厚实的盔甲，用来抵御攻击"""
BP1Y,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAnchorSmash.blp""",,"""""","""""","""|cffff3300锚击|r""","""该单位的战斗能力受到了大幅削弱"""
BP1Z,BHad,"""ReplaceableTextures\\CommandButtons\\BTNEtherealFormOn.blp""",,"""""","""""","""神行太保""","""增加移动速度"""
BP20,BHad,"""ReplaceableTextures\\CommandButtons\\BTNGreaterBash.blp""",,"""""","""""","""|cffff3300巨力重击|r""","""该单位处于巨力重击的作用中"""
BP21,BHad,"""ReplaceableTextures\\CommandButtons\\BTNRepel.blp""",,"""""","""""","""驱逐""","""该单位处于驱逐状态，处于技能免疫状态"""
BP22,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpiritLink.blp""",,"""""","""""","""|cffff3300退化光环|r""","""被减速了，行动更缓慢了"""
BP23,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDivineIntervention.blp""",,"""""","""""","""守护天使""","""该单位在天使的守护下，不受物理攻击的伤害，生命回复速度提升"""
BP24,BHad,"""ReplaceableTextures\\CommandButtons\\BTNEnchantedBears.blp""",,"""""","""""","""野性之心""","""该单位被野性之心影响了，，攻击更迅速"""
BP25,BHad,"""ReplaceableTextures\\CommandButtons\\BTNEnvenomedSpear.blp""",,"""""","""""","""豪猪-毒刺攻击""","""该单位中毒了。，被减速了，行动更缓慢了"""
BP26,BHad,"""ReplaceableTextures\\CommandButtons\\BTNThorns.blp""",,"""""","""""","""反击""","""任何攻击半人马酋长的单位都会受伤"""
BP27,BHad,"""ReplaceableTextures\\CommandButtons\\BTNStampede.blp""",,"""""","""""","""奔袭冲撞""","""该单位现在可以横冲直撞，增加移动速度"""
BP28,BHad,"""ReplaceableTextures\\CommandButtons\\BTNStampede.blp""",,"""""","""""","""奔袭冲撞""","""该单位现在可以横冲直撞，增加移动速度"""
BP29,BHad,"""ReplaceableTextures\\CommandButtons\\BTNTether.blp""",,"""""","""""","""联结""","""该单位被联结了，增加移动速度"""
BP2A,BHad,"""ReplaceableTextures\\CommandButtons\\BTNTether.blp""",,"""""","""""","""|cffff3300联结|r""","""被减速了"""
BP2B,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpirits.blp""",,"""""","""""","""幽魂""","""处于幽魂的作用中"""
BP2C,BHad,"""ReplaceableTextures\\CommandButtons\\BTNOvercharge.blp""",,"""""","""""","""过载""","""精灵守卫以每秒流失自身生命与魔法的代价，获得伤害减免，攻击更迅速"""
BP2D,BHad,"""ReplaceableTextures\\CommandButtons\\BTNGolemStormBolt.blp""",,"""""","""""","""|cffff3300山崩|r""","""被眩晕了"""
BP2E,BHad,"""ReplaceableTextures\\CommandButtons\\BTNToss.blp""",,"""""","""""","""|cffff3300投掷|r""","""被眩晕了"""
BP2F,BHad,"""ReplaceableTextures\\CommandButtons\\BTNResistantSkin.blp""",,"""""","""""","""崎岖外表""","""该单位处于崎岖外表的作用中"""
BP2G,BHad,"""ReplaceableTextures\\CommandButtons\\BTNTinyGrow.blp""",,"""""","""""","""长大！""","""该单位获得更高的攻击力，行动更缓慢了"""
BP2H,BHad,"""ReplaceableTextures\\CommandButtons\\BTNTinyGrow.blp""",,"""""","""""","""长大！""","""该单位获得更高的攻击力，并有溅射攻击，行动更缓慢了"""
BP2I,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSmash.blp""",,"""""","""""","""强化图腾""","""该单位的下次攻击将更具威力"""
BP2J,BHad,"""ReplaceableTextures\\CommandButtons\\BTNLeechSeed.blp""",,"""""","""""","""|cffff3300寄生种子|r""","""被减速了，持续受到伤害"""
BP2K,BHad,"""ReplaceableTextures\\CommandButtons\\BTNLivingArmor.blp""",,"""""","""""","""活体护甲""","""生命回复速度提升，护甲提升"""
BP2L,BHad,"""ReplaceableTextures\\CommandButtons\\BTNNaturesGuise.blp""",,"""""","""""","""大自然的掩护""","""处于隐身状态中"""
BP2M,BHad,"""ReplaceableTextures\\CommandButtons\\BTNOvergrowth.blp""",,"""""","""""","""|cffff3300疯狂生长|r""","""无法移动和使用位移技能"""
BP2N,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAncestralSpirit.blp""",,"""""","""""","""战吼""","""该单位处于战吼效果的影响下，其护甲得到了提升，增加移动速度"""
BP2O,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSvenGS.BLP""",,"""""","""""","""神之力量""","""该单位的攻击力得到大幅提升"""
BP2P,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSvenGS.BLP""",,"""""","""""","""神之力量""","""获得流浪剑客的激励该单位的攻击力得到大幅提升"""
BP2Q,BHad,"""ReplaceableTextures\\CommandButtons\\BTNHealingSpray.blp""",,"""""","""""","""|cffff3300酸性喷雾|r""","""处于酸性喷雾的笼罩下，该单位的护甲被降低，并持续受到伤害"""
BP2R,BHad,"""ReplaceableTextures\\CommandButtons\\BTNUnstableConcoction.blp""",,"""""","""""","""不稳定化合物""","""处于不稳定化合物作用中"""
BP2S,BHad,"""ReplaceableTextures\\CommandButtons\\BTNMGExchange.blp""",,"""""","""""","""地精的贪婪""","""地精在杀死单位时得到额外的黄金"""
BP2T,BHad,"""ReplaceableTextures\\CommandButtons\\BTNINV_Wand_05.blp""",,"""""","""""","""阿哈利姆神杖""","""获得阿哈利姆神杖的效果"""
BP2U,BHad,"""ReplaceableTextures\\CommandButtons\\BTNChemicalRage.blp""",,"""""","""""","""化学狂暴""","""进入化学狂暴！，生命回复速度提升"""
BP2V,BHad,"""ReplaceableTextures\\CommandButtons\\BTNWindWalkOn.blp""",,"""""","""""","""风熊猫-疾风步""","""该单位处于疾风中获得，增加移动速度，处于隐身状态中"""
BP2W,BHad,"""ReplaceableTextures\\CommandButtons\\BTNImmolationOn.blp""",,"""""","""""","""火熊猫-永久献祭""","""处于永久献祭的状态中"""
BP2X,BHad,"""ReplaceableTextures\\CommandButtons\\BTNThunderClapPanda.blp""",,"""""","""""","""|cffff3300雷霆一击|r""","""被减速了，行动更缓慢了"""
BP2Y,BHad,"""ReplaceableTextures\\CommandButtons\\BTNStrongDrink.blp""",,"""""","""""","""|cffff3300醉酒云雾|r""","""该单位被醉酒云雾击中，被减速了，难以击中目标"""
BP2Z,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDrunkenDodge.blp""",,"""""","""""","""醉拳-闪避""","""必定闪避一次攻击"""
BP30,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDrunkenDodge.blp""",,"""""","""""","""醉拳-暴击""","""下次攻击必定暴击"""
BP31,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSeaGiantPulverize.blp""",,"""""","""""","""土熊猫-粉碎击""","""概率造成倍数伤害"""
BP32,BHad,"""ReplaceableTextures\\CommandButtons\\BTNGreatStomp.blp""",,"""""","""""","""|cffff3300回音重踏|r""","""该单位被击昏了，昏迷的敌人一旦受到玩家单位的攻击就会被惊醒"""
BP33,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAncestralCharge.blp""",,"""""","""""","""先祖之魂""","""增加移动速度"""
BP34,BHad,"""ReplaceableTextures\\CommandButtons\\BTNNaturalOrder.blp""",,"""""","""""","""|cffff3300自然秩序|r""","""该单位的基础护甲和魔抗被降低了"""
BP35,BHad,"""ReplaceableTextures\\CommandButtons\\BTNTorrent.blp""",,"""""","""""","""|cffff3300洪流|r""","""被减速了"""
BP36,BHad,"""ReplaceableTextures\\CommandButtons\\BTNTidebringer.blp""",,"""""","""""","""潮汐使者""","""该单位攻击带有有溅射"""
BP37,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpy.blp""",,"""""","""""","""X标记""","""该单位被标记了"""
BP38,BHad,"""ReplaceableTextures\\CommandButtons\\BTNStrongDrink.blp""",,"""""","""""","""幽灵船""","""该单位被CoCo船长的酒灌醉了。对伤害变得麻木，增加移动速度"""
BP39,BHad,"""ReplaceableTextures\\CommandButtons\\BTNAnimalWarTraining.blp""",,"""""","""""","""压倒性优势""","""增加移动速度"""
BP3A,BHad,"""ReplaceableTextures\\CommandButtons\\BTNPressTheAttack.blp""",,"""""","""""","""强攻""","""该单位处于强攻的作用中，生命回复速度提升"""
BP3B,BHad,"""ReplaceableTextures\\CommandButtons\\BTNMomentOfCourage.blp""",,"""""","""""","""勇气之霎""","""该单位处于勇气之霎的作用中，获得攻速、吸血加成"""
BP3C,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDuel.blp""",,"""""","""""","""|cffff3300决斗|r""","""你正处于决斗中，无法施法或使用物品"""
BP3D,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDash.blp""",,"""""","""""","""|cffff3300凤凰冲击|r""","""该单位处于凤凰冲击的作用中，被减速了，持续受到伤害"""
BP3E,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDash.blp""",,"""""","""""","""凤凰冲击""","""该单位处于凤凰冲击中"""
BP3F,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFireSpirits.blp""",,"""""","""""","""|cffff3300烈火精灵|r""","""持续受到伤害"""
BP3G,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSunray.blp""",,"""""","""""","""烈日炙烤""","""持续受到伤害"""
BP3H,BHad,"""ReplaceableTextures\\CommandButtons\\BTNPhoenix2.blp""",,"""""","""""","""超新星""","""该单位处于超新星的作用中"""
BP3I,BHad,"""ReplaceableTextures\\CommandButtons\\BTNBristleGoo.blp""",,"""""","""""","""|cffff3300粘稠鼻液|r""","""该单位沾上了恶心的鼻涕，护甲被降低了，被减速了"""
BP3J,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFanOfKnives.blp""",,"""""","""""","""|cffff3300刺针扫射|r""","""该单位处于刺针扫射的作用中"""
BP3K,BHad,"""ReplaceableTextures\\CommandButtons\\BTNQuillSprayOff.blp""",,"""""","""""","""刚毛后背""","""结实的大屁屁"""
BP3L,BHad,"""ReplaceableTextures\\CommandButtons\\BTNHire.blp""",,"""""","""""","""战意""","""该单位的战意被激发了，增加移动速度，攻击更迅速"""
BP3M,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFlakCannons.blp""",,"""""","""""","""弹幕冲击""","""向附近敌方单位随机射出高能弹片，造成小幅魔法伤害和短暂眩晕"""
